 set_id | pmt_no | pmt_id |  type  |    x_mm     |    y_mm     | size_mm | rotation_rad | pmt_array  
      1 |     71 |  11007 | R11410 |       244.5 | -141.162141 |      77 |            0 | TopMain
      1 |     72 |  11100 | R11410 |       -81.5 |  282.324282 |      77 |            0 | TopMain
      1 |     73 |  11101 | R11410 |      -40.75 |  211.743211 |      77 |            0 | TopMain
      1 |     74 |  11102 | R11410 |           0 |  141.162141 |      77 |            0 | TopMain
      1 |     75 |  11103 | R11410 |       40.75 |    70.58107 |      77 |            0 | TopMain
      1 |     76 |  11104 | R11410 |        81.5 |           0 |      77 |            0 | TopMain
      1 |     77 |  11105 | R11410 |      122.25 |   -70.58107 |      77 |            0 | TopMain
      1 |     78 |  11106 | R11410 |         163 | -141.162141 |      77 |            0 | TopMain
      1 |     79 |  11107 | R11410 |      203.75 | -211.743211 |      77 |            0 | TopMain
      1 |     80 |  11200 | R11410 |     -203.75 | -211.743211 |      77 |            0 | TopMain
      1 |     81 |  11201 | R11410 |      -244.5 | -141.162141 |      77 |            0 | TopMain
      1 |     82 |  11202 | R11410 |     -285.25 |   -70.58107 |      77 |            0 | TopMain
      1 |     83 |  11203 | R11410 |       -81.5 | -282.324282 |      77 |            0 | TopMain
      1 |     84 |  11204 | R11410 |     -122.25 | -211.743211 |      77 |            0 | TopMain
      1 |     85 |  11205 | R11410 |        -163 | -141.162141 |      77 |            0 | TopMain
      1 |     86 |  11206 | R11410 |     -203.75 |   -70.58107 |      77 |            0 | TopMain
      1 |     87 |  11207 | R11410 |      -244.5 |           0 |      77 |            0 | TopMain
      1 |     88 |  11300 | R11410 |     -285.25 |    70.58107 |      77 |            0 | TopMain
      1 |     89 |  11301 | R11410 |           0 | -282.324282 |      77 |            0 | TopMain
      1 |     90 |  11302 | R11410 |      -40.75 | -211.743211 |      77 |            0 | TopMain
      1 |     91 |  11303 | R11410 |       -81.5 | -141.162141 |      77 |            0 | TopMain
      1 |     92 |  11304 | R11410 |     -122.25 |   -70.58107 |      77 |            0 | TopMain
      1 |     93 |  11305 | R11410 |        -163 |           0 |      77 |            0 | TopMain
      1 |     94 |  11306 | R11410 |     -203.75 |    70.58107 |      77 |            0 | TopMain
      1 |     95 |  11307 | R11410 |      -244.5 |  141.162141 |      77 |            0 | TopMain
      1 |     96 |  11400 | R11410 |        81.5 | -282.324282 |      77 |            0 | TopMain
      1 |     97 |  11401 | R11410 |       40.75 | -211.743211 |      77 |            0 | TopMain
      1 |     98 |  11402 | R11410 |           0 | -141.162141 |      77 |            0 | TopMain
      1 |     99 |  11403 | R11410 |      -40.75 |   -70.58107 |      77 |            0 | TopMain
      1 |    100 |  11404 | R11410 |       -81.5 |           0 |      77 |            0 | TopMain
      1 |    101 |  11405 | R11410 |     -122.25 |    70.58107 |      77 |            0 | TopMain
      1 |    102 |  11406 | R11410 |        -163 |  141.162141 |      77 |            0 | TopMain
      1 |    103 |  11407 | R11410 |     -203.75 |  211.743211 |      77 |            0 | TopMain
      1 |    104 |  11500 | R11410 |     -122.25 |  211.743211 |      77 |            0 | TopMain
      1 |    105 |  11501 | R11410 |       -81.5 |  141.162141 |      77 |            0 | TopMain
      1 |    106 |  11502 | R11410 |      -40.75 |    70.58107 |      77 |            0 | TopMain
      1 |    107 |  11503 | R11410 |           0 |           0 |      77 |            0 | TopMain
      1 |    108 |  11504 | R11410 |       40.75 |   -70.58107 |      77 |            0 | TopMain
      1 |    109 |  11505 | R11410 |        81.5 | -141.162141 |      77 |            0 | TopMain
      1 |    110 |  11506 | R11410 |      122.25 | -211.743211 |      77 |            0 | TopMain
      1 |    111 |  21600 | R8520  | -144.654335 |  349.226464 |    25.4 |     0.392699 | BottomVeto
      1 |    112 |  21601 | R8520  |    -49.3389 |  374.766158 |    25.4 |       0.1309 | BottomVeto
      1 |    113 |  21602 | R8520  |    49.33894 |  374.766152 |    25.4 |     6.152286 | BottomVeto
      1 |    114 |  21603 | R8520  |  144.654373 |  349.226449 |    25.4 |     5.890486 | BottomVeto
      1 |    115 |  21604 | R8520  |  230.111849 |  299.887541 |    25.4 |     5.628687 | BottomVeto
      1 |    116 |  21605 | R8520  |  299.887584 |  230.111793 |    25.4 |     5.366887 | BottomVeto
      1 |    117 |  21606 | R8520  |  349.226476 |  144.654307 |    25.4 |     5.105088 | BottomVeto
      1 |    118 |  21607 | R8520  |  374.766162 |    49.33887 |    25.4 |     4.843289 | BottomVeto
      1 |    119 |  21700 | R8520  |  374.766154 |   -49.33893 |    25.4 |     4.581489 | BottomVeto
      1 |    120 |  21701 | R8520  |  349.226453 | -144.654363 |    25.4 |      4.31969 | BottomVeto
      1 |    121 |  21702 | R8520  |  299.887547 | -230.111841 |    25.4 |      4.05789 | BottomVeto
      1 |    122 |  21703 | R8520  |  230.111801 | -299.887578 |    25.4 |     3.796091 | BottomVeto
